Заголовок,Ссылка на объявление,Цена
"
Сдам свою дизайнерскую квартиру-студию на ул. Чернышевской! Центр!
",https://www.olx.ua/obyavlenie/sdam-svoyu-dizaynerskuyu-kvartiru-studiyu-na-ul-chernyshevskoy-tsentr-IDDrNey.html#d8c4462a0e;promoted,"
13 089 грн.
"
"
Сдам 2 ком. квартиру, центр
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-tsentr-IDvC74k.html#d8c4462a0e,"
13 500 грн.
"
"
Сдам 1к гостинку Воробьевы Горы со своими удобствами Метро Акад Павлов
",https://www.olx.ua/obyavlenie/sdam-1k-gostinku-vorobevy-gory-so-svoimi-udobstvami-metro-akad-pavlov-IDEF9rP.html#d8c4462a0e,"
5 756 грн.
"
"
Сдам гостинку в Самом теплом доме!
",https://www.olx.ua/obyavlenie/sdam-gostinku-v-samom-teplom-dome-IDBnvjo.html#d8c4462a0e,"
6 500 грн.
"
"
Сдам квартиру - студию ""Воробьевы горы""
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-vorobevy-gory-IDEDXcZ.html#d8c4462a0e,"
4 500 грн.
"
"
Аренда Новая 3к.кв. Центр Новострой
",https://www.olx.ua/obyavlenie/arenda-novaya-3k-kv-tsentr-novostroy-IDEEYNC.html#d8c4462a0e;promoted,"
18 000 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEDGuc.html#0488cc84c0;promoted,"
4 500 грн.
"
"
Аренда 3к.кв Центр м. Пушкинская ул. Гуданова
",https://www.olx.ua/obyavlenie/arenda-3k-kv-tsentr-m-pushkinskaya-ul-gudanova-IDEnPuN.html#0488cc84c0;promoted,"
28 796 грн.
"
"
Аренда 1к Новострой Центр Пушкинская Шевченко Паркинг Закрытый комплек
",https://www.olx.ua/obyavlenie/arenda-1k-novostroy-tsentr-pushkinskaya-shevchenko-parking-zakrytyy-komplek-IDChmu8.html#0488cc84c0;promoted,"
10 000 грн.
"
"
Сдам 2-х ком. кв-ру на Салтовке м.Студенческая
",https://www.olx.ua/obyavlenie/sdam-2-h-kom-kv-ru-na-saltovke-m-studencheskaya-IDCGqqS.html#0488cc84c0;promoted,"
11 793 грн.
"
"
Сдаю 1 к. квартиру на C. Салтовке. Метро – 10 мин.
",https://www.olx.ua/obyavlenie/sdayu-1-k-kvartiru-na-c-saltovke-metro-10-min-IDEtESH.html#0488cc84c0;promoted,"
5 500 грн.
"
"
Аренда 2к. студия Новострой Салтовка м.Героев Труда, 2мин метро
",https://www.olx.ua/obyavlenie/arenda-2k-studiya-novostroy-saltovka-m-geroev-truda-2min-metro-IDEEZUY.html#0488cc84c0,"
10 471 грн.
"
"
Аренда роскошной 3 к.кв. Новострой ЖК ""Белый Слон"" Дом Премиум-Класса
",https://www.olx.ua/obyavlenie/arenda-roskoshnoy-3-k-kv-novostroy-zhk-belyy-slon-dom-premium-klassa-IDDqR68.html#0488cc84c0,"
52 356 грн.
"
"
Сдам 2 ком. квартиру в центре
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-v-tsentre-IDEBewu.html#0488cc84c0,"
15 724 грн.
"
"
Срочно! Сдам 1к.квартиру,Салтовка.ЖК ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/srochno-sdam-1k-kvartiru-saltovka-zhk-bestuzhevskie-sady-IDsFASI.html#0488cc84c0,"
5 234 грн.
"
"
Сдам 2к квартиру 2 мин м.Ботанический сад
",https://www.olx.ua/obyavlenie/sdam-2k-kvartiru-2-min-m-botanicheskiy-sad-IDEF6vp.html#0488cc84c0,"
10 471 грн.
"
"
Сдам стильную гостинку, новый ремонт
",https://www.olx.ua/obyavlenie/sdam-stilnuyu-gostinku-novyy-remont-IDB99gh.html#0488cc84c0,"
5 234 грн.
"
"
Сдам малогабаритку на Дарвина 20
",https://www.olx.ua/obyavlenie/sdam-malogabaritku-na-darvina-20-IDEo3BL.html#0488cc84c0,"
7 500 грн.
"
"
Сдам классную квартиру-студию в ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/sdam-klassnuyu-kvartiru-studiyu-v-zhk-vorobevy-gory-IDA7vwa.html#0488cc84c0,"
5 000 грн.
"
"
Сдам квартиру в новом современном новострое!
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-novom-sovremennom-novostroe-IDBl9X6.html#0488cc84c0,"
6 500 грн.
"
"
Сдам квартиру-студию на длительный срок
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-na-dlitelnyy-srok-IDAp97v.html#0488cc84c0,"
6 021 грн.
"
"
Сдам Квартиру ХАИ.Шишковка.ИНОСТРАНЦАМ + . Цена 200$+Свет
",https://www.olx.ua/obyavlenie/sdam-kvartiru-hai-shishkovka-inostrantsam-tsena-200-svet-IDEECHY.html#0488cc84c0,"
5 236 грн.
"
"
Аренда Новой 1к Новострой с ремонтом Центр
",https://www.olx.ua/obyavlenie/arenda-novoy-1k-novostroy-s-remontom-tsentr-IDDMw7n.html#0488cc84c0,"
10 000 грн.
"
"
Аренда Центр Новой 2к. Новострой пл.Восстания
",https://www.olx.ua/obyavlenie/arenda-tsentr-novoy-2k-novostroy-pl-vosstaniya-IDEnW8W.html#0488cc84c0;promoted,"
13 089 грн.
"
"
Сдаётся замечательная квартира в 20 минутах от центра!
",https://www.olx.ua/obyavlenie/sdaetsya-zamechatelnaya-kvartira-v-20-minutah-ot-tsentra-IDBlEAa.html#0488cc84c0,"
5 759 грн.
"
"
Сдам 2-комнатную гостинку на пос. Жуковского (ул.Ак.Проскуры 3Б)
",https://www.olx.ua/obyavlenie/sdam-2-komnatnuyu-gostinku-na-pos-zhukovskogo-ul-ak-proskury-3b-IDCBo38.html#0488cc84c0,"
6 500 грн.
"
"
Сдам стильную 2х уровневую гостинку. Срочно!
",https://www.olx.ua/obyavlenie/sdam-stilnuyu-2h-urovnevuyu-gostinku-srochno-IDBcVLv.html#0488cc84c0,"
6 551 грн.
"
"
2к проходные 5000, свет. 5 мин. на автобусе. Студенческая
",https://www.olx.ua/obyavlenie/2k-prohodnye-5000-svet-5-min-na-avtobuse-studencheskaya-IDEF3I8.html#0488cc84c0,"
5 000 грн.
"
"
Сдам комнату на салтовке
",https://www.olx.ua/obyavlenie/sdam-komnatu-na-saltovke-IDEF3wz.html#0488cc84c0,"
3 000 грн.
"
"
Сдам гостинку,Воробъевы Горы!
",https://www.olx.ua/obyavlenie/sdam-gostinku-vorobevy-gory-IDEEYxY.html#0488cc84c0,"
5 236 грн.
"
"
Сдается своя двухуровневая с евроремонтом
",https://www.olx.ua/obyavlenie/sdaetsya-svoya-dvuhurovnevaya-s-evroremontom-IDEebgd.html#0488cc84c0,"
7 853 грн.
"
"
Аренда 3к.кв Центр м. Пушкинская ул. Гуданова
",https://www.olx.ua/obyavlenie/arenda-3k-kv-tsentr-m-pushkinskaya-ul-gudanova-IDEnPuN.html#0488cc84c0;promoted,"
28 796 грн.
"
"
Дизайнерская 2ка. Новострой Premium класса
",https://www.olx.ua/obyavlenie/dizaynerskaya-2ka-novostroy-premium-klassa-IDAPx6A.html#0488cc84c0,"
14 000 грн.
"
"
Квартира студия 53 кв.м. ЖК Доминион
",https://www.olx.ua/obyavlenie/kvartira-studiya-53-kv-m-zhk-dominion-IDEERyl.html#0488cc84c0,"
12 500 грн.
"
"
Комната и места для приезжей молодёжи. Центр!
",https://www.olx.ua/obyavlenie/komnata-i-mesta-dlya-priezzhey-molodezhi-tsentr-IDCsX5o.html#0488cc84c0,"
2 280 грн.
"
"
Аренда 1к квартиры. С.Салтовка. Метро ""Героев Труда"". Реальная.
",https://www.olx.ua/obyavlenie/arenda-1k-kvartiry-s-saltovka-metro-geroev-truda-realnaya-IDEEQDY.html#0488cc84c0,"
6 500 грн.
"
"
Срочно сдам 3 к кв ул.Чернышевского
",https://www.olx.ua/obyavlenie/srochno-sdam-3-k-kv-ul-chernyshevskogo-IDElv4G.html#0488cc84c0,"
15 707 грн.
"
"
Сдам 1 ком. квартиру, центр
",https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-tsentr-IDBR90l.html#0488cc84c0,"
10 471 грн.
"
"
Сдам 1 к. квартиру на Алексеевке
",https://www.olx.ua/obyavlenie/sdam-1-k-kvartiru-na-alekseevke-IDEhqVe.html#0488cc84c0,"
7 853 грн.
"
"
Сдам двухуровневую квартиру возле станции метро Ак. Павлова
",https://www.olx.ua/obyavlenie/sdam-dvuhurovnevuyu-kvartiru-vozle-stantsii-metro-ak-pavlova-IDA6Xfq.html#0488cc84c0,"
6 545 грн.
"
"
Сдам 2-к кв в Центре,7 мин.от метро
",https://www.olx.ua/obyavlenie/sdam-2-k-kv-v-tsentre-7-min-ot-metro-IDEEPyY.html#0488cc84c0,"
9 162 грн.
"
"
Реальная 2к кВ.Новострой,м.Научная
",https://www.olx.ua/obyavlenie/realnaya-2k-kv-novostroy-m-nauchnaya-IDEEPmA.html#0488cc84c0,"
15 707 грн.
"
"
Сдам однокомнатную квартиру на Салтовке
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-na-saltovke-IDsMyAE.html#0488cc84c0,"
5 236 грн.
"
"
Сдаётся современная гостинка, превосходный вариант!
",https://www.olx.ua/obyavlenie/sdaetsya-sovremennaya-gostinka-prevoshodnyy-variant-IDEcbpi.html#0488cc84c0,"
5 400 грн.
"
"
Сдам новую м/г квартиру с новым ремонтом
",https://www.olx.ua/obyavlenie/sdam-novuyu-m-g-kvartiru-s-novym-remontom-IDB7rNd.html#0488cc84c0,"
6 021 грн.
"
"
Срочно! Сдается изол. гостинка.
",https://www.olx.ua/obyavlenie/srochno-sdaetsya-izol-gostinka-IDEcaDk.html#0488cc84c0,"
6 021 грн.
"
"
Сдается стильная гостинка. Срочно!
",https://www.olx.ua/obyavlenie/sdaetsya-stilnaya-gostinka-srochno-IDBoFu4.html#0488cc84c0,"
5 236 грн.
"
"
Сдам 1комнатную квартиру
",https://www.olx.ua/obyavlenie/sdam-1komnatnuyu-kvartiru-IDEDVvD.html#0488cc84c0,"
5 000 грн.
"
"
Сдам 1ком.кв. в новострое на Салтовке
",https://www.olx.ua/obyavlenie/sdam-1kom-kv-v-novostroe-na-saltovke-IDB7tbw.html#0488cc84c0,"
6 400 грн.
"
"
Сдам уютную квартиру в современном новострое.
",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-kvartiru-v-sovremennom-novostroe-IDAk9XG.html#0488cc84c0,"
5 759 грн.
"
"
Сдам свою шикарную 3-х комнатную кв-ру ,ремонт 2018 года, Пески,522мрн
",https://www.olx.ua/obyavlenie/sdam-svoyu-shikarnuyu-3-h-komnatnuyu-kv-ru-remont-2018-goda-peski-522mrn-IDCsYpH.html#f756f80c28;promoted,"
13 500 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEET3z.html#f756f80c28;promoted,"
7 000 грн.
"
"
Сдам 3 комнатную квартиру в новострое м. Академика Павлова
",https://www.olx.ua/obyavlenie/sdam-3-komnatnuyu-kvartiru-v-novostroe-m-akademika-pavlova-IDEGPsq.html#f756f80c28;promoted,"
10 471 грн.
"
"
Сдам 3-х комнатную евро квартиру возле метро Академика Павлова
",https://www.olx.ua/obyavlenie/sdam-3-h-komnatnuyu-evro-kvartiru-vozle-metro-akademika-pavlova-IDEG6yc.html#f756f80c28;promoted,"
15 000 грн.
"
"
Аренда 4-х комн. квартиры Харьков (центр) ул. Гиршмана
",https://www.olx.ua/obyavlenie/arenda-4-h-komn-kvartiry-harkov-tsentr-ul-girshmana-IDdYHZy.html#f756f80c28;promoted,"
32 500 грн.
"
"
Сдам великолепную квартиру на ул. Сумской, р-н парк Горького,
",https://www.olx.ua/obyavlenie/sdam-velikolepnuyu-kvartiru-na-ul-sumskoy-r-n-park-gorkogo-IDEEMvu.html#f756f80c28,"
15 707 грн.
"
"
Сдаю квартиру в новострое рядом с ТРЦ Французский Бульвар. Срочно!
",https://www.olx.ua/obyavlenie/sdayu-kvartiru-v-novostroe-ryadom-s-trts-frantsuzskiy-bulvar-srochno-IDB8sdU.html#f756f80c28,"
5 236 грн.
"
"
Сдам СВОЮ квартиру! 8000
",https://www.olx.ua/obyavlenie/sdam-svoyu-kvartiru-8000-IDEELrT.html#f756f80c28,"
8 000 грн.
"
"
Сдается квартира в долгосрочную аренду.
",https://www.olx.ua/obyavlenie/sdaetsya-kvartira-v-dolgosrochnuyu-arendu-IDBhIr7.html#f756f80c28,"
6 400 грн.
"
"
Квартиры в элитном новострое
",https://www.olx.ua/obyavlenie/kvartiry-v-elitnom-novostroe-IDy4DsI.html#f756f80c28,"
20 942 грн.
"
"
1комн.кв.Сев.Салтовка-2
",https://www.olx.ua/obyavlenie/1komn-kv-sev-saltovka-2-IDElLej.html#f756f80c28,"
6 000 грн.
"
"
Сдам гостинку
",https://www.olx.ua/obyavlenie/sdam-gostinku-IDEEJS0.html#f756f80c28,"
4 500 грн.
"
"
сдам 1 комнатную квартиру м. Героевтруда
",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-m-geroevtruda-IDEEK0r.html#f756f80c28,"
4 700 грн.
"
"
Сдам 1-к квартиру на длительное время.
",https://www.olx.ua/obyavlenie/sdam-1-k-kvartiru-na-dlitelnoe-vremya-IDB8sOd.html#f756f80c28,"
5 236 грн.
"
"
Сдам однокомнатную квартиру м.Героев труда
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-m-geroev-truda-IDCtSoD.html#f756f80c28,"
5 300 грн.
"
"
Сдам квартиру-студию порядочным людям на длительное время.
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-poryadochnym-lyudyam-na-dlitelnoe-vremya-IDB9ffG.html#f756f80c28,"
5 000 грн.
"
"
Сдам 3 к кв в сталинке, м. «Защитников Украины».
",https://www.olx.ua/obyavlenie/sdam-3-k-kv-v-stalinke-m-zaschitnikov-ukrainy-IDEhBT9.html#f756f80c28,"
5 000 грн.
"
"
Сдам смарт-квартиру 'Воробъевы Горы' LS-1
",https://www.olx.ua/obyavlenie/sdam-smart-kvartiru-vorobevy-gory-ls-1-IDEx2Rm.html#f756f80c28,"
5 236 грн.
"
"
Сдам изолированную гостинку в хорошем районе
",https://www.olx.ua/obyavlenie/sdam-izolirovannuyu-gostinku-v-horoshem-rayone-IDEc4bA.html#f756f80c28,"
6 021 грн.
"
"
Сдам 2-х комнатную квартиру в районе ХАИ,пос. Жуковского,Шишковка!
",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-v-rayone-hai-pos-zhukovskogo-shishkovka-IDEx1Yh.html#f756f80c28,"
6 000 грн.
"
"
Сдам просторную 2х уровневую квартиру в ЖК ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/sdam-prostornuyu-2h-urovnevuyu-kvartiru-v-zhk-bestuzhevskie-sady-IDCpDnb.html#f756f80c28,"
7 068 грн.
"
"
Сдается квартира-студия, уютный ремонт.
",https://www.olx.ua/obyavlenie/sdaetsya-kvartira-studiya-uyutnyy-remont-IDB8Gpp.html#f756f80c28,"
4 974 грн.
"
"
Сдам квартиру. Салтовка
",https://www.olx.ua/obyavlenie/sdam-kvartiru-saltovka-IDEc25m.html#f756f80c28,"
6 021 грн.
"
"
Впервые сдается шикарная 3 к. квартира в новострое
",https://www.olx.ua/obyavlenie/vpervye-sdaetsya-shikarnaya-3-k-kvartira-v-novostroe-IDvAzxK.html#f756f80c28,"
17 016 грн.
"
"
Сдам 2 ком. квартиру, м. Пушкинская
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-m-pushkinskaya-IDyM6WY.html#f756f80c28,"
11 780 грн.
"
"
Сдам квартиру-студию рядом с метро
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-ryadom-s-metro-IDB945a.html#f756f80c28,"
6 021 грн.
"
"
Аренда 2к квартиры в центре Харькова, ул.Алчевских
",https://www.olx.ua/obyavlenie/arenda-2k-kvartiry-v-tsentre-harkova-ul-alchevskih-IDEEE33.html#f756f80c28,"
13 089 грн.
"
"
Сдам современную квартиру на ЖК ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/sdam-sovremennuyu-kvartiru-na-zhk-bestuzhevskie-sady-IDEc0gx.html#f756f80c28,"
5 236 грн.
"
"
Срочно сдам двухуровневую квартиру!
",https://www.olx.ua/obyavlenie/srochno-sdam-dvuhurovnevuyu-kvartiru-IDDNv86.html#f756f80c28,"
6 545 грн.
"
"
Квартира предлагается в аренду впервые. Никто не жил.
",https://www.olx.ua/obyavlenie/kvartira-predlagaetsya-v-arendu-vpervye-nikto-ne-zhil-IDBkpIC.html#f756f80c28,"
6 200 грн.
"
"
Сдам квартиру с качественным ремонтом в кирпичном доме!
",https://www.olx.ua/obyavlenie/sdam-kvartiru-s-kachestvennym-remontom-v-kirpichnom-dome-IDBl80E.html#f756f80c28,"
6 000 грн.
"
"
Впервые сдам 2х уровневую гостинку с евроремонтом
",https://www.olx.ua/obyavlenie/vpervye-sdam-2h-urovnevuyu-gostinku-s-evroremontom-IDEbY4d.html#f756f80c28,"
7 068 грн.
"
"
Сдам квартиру с новым ремонтом в новострое
",https://www.olx.ua/obyavlenie/sdam-kvartiru-s-novym-remontom-v-novostroe-IDB7UX5.html#f756f80c28,"
6 200 грн.
"
"
1ком. квартира для ВАС! Сдам квартиру в шаговой доступности от метро!
",https://www.olx.ua/obyavlenie/1kom-kvartira-dlya-vas-sdam-kvartiru-v-shagovoy-dostupnosti-ot-metro-IDBkohg.html#f756f80c28,"
5 236 грн.
"
"
Сдам 2 ком. квартиру в центре города
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-v-tsentre-goroda-IDEvWw0.html#f756f80c28,"
12 304 грн.
"
"
Сдам 3 ком.кв. метро Героев Труда. Салтовка
",https://www.olx.ua/obyavlenie/sdam-3-kom-kv-metro-geroev-truda-saltovka-IDEvWcD.html#f756f80c28,"
9 162 грн.
"
"
Сдам 1к квартиру в Центре
",https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-v-tsentre-IDEvUfK.html#f756f80c28,"
10 471 грн.
"
"
Сдам квартиру-студию с современным ремонтом
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-s-sovremennym-remontom-IDB8F4V.html#f756f80c28,"
6 300 грн.
"
"
Срочно!Сдам 2х уровневую квартиру.
",https://www.olx.ua/obyavlenie/srochno-sdam-2h-urovnevuyu-kvartiru-IDB8trf.html#f756f80c28,"
7 500 грн.
"
"
Аренда Невероятной 3к.кв Новострой Центр Пушкинская ул.Чайковского
",https://www.olx.ua/obyavlenie/arenda-neveroyatnoy-3k-kv-novostroy-tsentr-pushkinskaya-ul-chaykovskogo-IDDVHgX.html#f756f80c28,"
26 178 грн.
"
"
Сдам 1ком.кв.
",https://www.olx.ua/obyavlenie/sdam-1kom-kv-IDAsK4y.html#f756f80c28,"
5 759 грн.
"
"
Сдаем гостинку в ЖК Воробьевы Горы!
",https://www.olx.ua/obyavlenie/sdaem-gostinku-v-zhk-vorobevy-gory-IDEEwcp.html#f756f80c28,"
4 300 грн.
"
"
Сдам замечательную квартиру-студию.Новый ЖК!
",https://www.olx.ua/obyavlenie/sdam-zamechatelnuyu-kvartiru-studiyu-novyy-zhk-IDBnwTc.html#f756f80c28,"
6 500 грн.
"
"
Сдам 1комнатную квартиру
",https://www.olx.ua/obyavlenie/sdam-1komnatnuyu-kvartiru-IDAtrhm.html#f756f80c28,"
6 400 грн.
"
"
Сдам 2х уровневую квартиру-студию
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-studiyu-IDAfqSk.html#cbdb1e6ad6;promoted,"
6 000 грн.
"
"
М.студенческая,свободна!
",https://www.olx.ua/obyavlenie/m-studencheskaya-svobodna-IDEFocw.html#cbdb1e6ad6;promoted,"
9 162 грн.
"
"
АРЕНДА КВАРТИРА Ботанический Сад
",https://www.olx.ua/obyavlenie/arenda-kvartira-botanicheskiy-sad-IDEjrJ7.html#cbdb1e6ad6;promoted,"
19 634 грн.
"
"
Аренда 3 квартиры, м. Героев Труда, Университет, Шишковка, Жуковского
",https://www.olx.ua/obyavlenie/arenda-3-kvartiry-m-geroev-truda-universitet-shishkovka-zhukovskogo-IDDWvqA.html#cbdb1e6ad6;promoted,"
5 000 грн.
"
"
своя центр Дмитриевская 19 новострой П Шлях южд смарт студия собств
",https://www.olx.ua/obyavlenie/svoya-tsentr-dmitrievskaya-19-novostroy-p-shlyah-yuzhd-smart-studiya-sobstv-IDEw7An.html#cbdb1e6ad6;promoted,"
5 500 грн.
"
"
Сдам в аренду 1 комн м.Студенческая Салтовка 522 мр
",https://www.olx.ua/obyavlenie/sdam-v-arendu-1-komn-m-studencheskaya-saltovka-522-mr-IDCOcGE.html#cbdb1e6ad6,"
8 300 грн.
"
"
Сдается квартира-студия в новом доме
",https://www.olx.ua/obyavlenie/sdaetsya-kvartira-studiya-v-novom-dome-IDBkhWm.html#cbdb1e6ad6,"
5 236 грн.
"
"
Сдам 2х комнатную квартиру
",https://www.olx.ua/obyavlenie/sdam-2h-komnatnuyu-kvartiru-IDEEubk.html#cbdb1e6ad6,"
6 500 грн.
"
"
Сдам 1к-северная салтовка на 4 месяца
",https://www.olx.ua/obyavlenie/sdam-1k-severnaya-saltovka-na-4-mesyatsa-IDEEsO8.html#cbdb1e6ad6,"
4 000 грн.
"
"
Аренда Шикарная квартира - студия Новострой, Сухумская 24. Центр
",https://www.olx.ua/obyavlenie/arenda-shikarnaya-kvartira-studiya-novostroy-suhumskaya-24-tsentr-IDCN2e5.html#cbdb1e6ad6,"
11 780 грн.
"
"
Сдается супер 3комнатная квартира Блюхера 15 522м/р E. S1
",https://www.olx.ua/obyavlenie/sdaetsya-super-3komnatnaya-kvartira-blyuhera-15-522m-r-e-s1-IDEAwWL.html#cbdb1e6ad6,"
11 780 грн.
"
"
Срочно сдам 4комнатную квартиру Салтовка Караван E. S1
",https://www.olx.ua/obyavlenie/srochno-sdam-4komnatnuyu-kvartiru-saltovka-karavan-e-s1-IDCUd0n.html#cbdb1e6ad6,"
9 000 грн.
"
"
Сдам РЕАЛЬНУЮ 1к м. Студенческая 1мин от метро
",https://www.olx.ua/obyavlenie/sdam-realnuyu-1k-m-studencheskaya-1min-ot-metro-IDEzbLk.html#cbdb1e6ad6,"
6 806 грн.
"
"
Сдам 2 к. квартиру в Центре
",https://www.olx.ua/obyavlenie/sdam-2-k-kvartiru-v-tsentre-IDEkflt.html#cbdb1e6ad6,"
9 000 грн.
"
"
lсдам 1 комнотную квартиру в центре 400 м до м,бекетова
",https://www.olx.ua/obyavlenie/lsdam-1-komnotnuyu-kvartiru-v-tsentre-400-m-do-m-beketova-IDEEleK.html#cbdb1e6ad6,"
9 162 грн.
"
"
Аренда Центр ! Дизайнерскую 1к.кв. Новострой Центр, 2 мин от метро
",https://www.olx.ua/obyavlenie/arenda-tsentr-dizaynerskuyu-1k-kv-novostroy-tsentr-2-min-ot-metro-IDD73q4.html#cbdb1e6ad6,"
9 948 грн.
"
"
Срочно сдам 2кв м Студенческая 3мин
",https://www.olx.ua/obyavlenie/srochno-sdam-2kv-m-studencheskaya-3min-IDEEiDP.html#cbdb1e6ad6,"
7 300 грн.
"
"
Срочно сдам 1комнатную квартиру Салтовка 522м/р E. S1
",https://www.olx.ua/obyavlenie/srochno-sdam-1komnatnuyu-kvartiru-saltovka-522m-r-e-s1-IDE92Rc.html#cbdb1e6ad6,"
5 000 грн.
"
"
Сдам изол. гостинку со всеми удобствами на длительное время
",https://www.olx.ua/obyavlenie/sdam-izol-gostinku-so-vsemi-udobstvami-na-dlitelnoe-vremya-IDB9CBa.html#cbdb1e6ad6,"
5 759 грн.
"
"
Срочно!Cдам 1к.квартиру на Салтовке,5 мин пешком от метро!
",https://www.olx.ua/obyavlenie/srochno-cdam-1k-kvartiru-na-saltovke-5-min-peshkom-ot-metro-IDB9D4i.html#cbdb1e6ad6,"
5 759 грн.
"
"
Хозяин. Сдам 1 комн. квартиру на Сев.Салтовке, ул.Гв.Широнинцев 96/30
",https://www.olx.ua/obyavlenie/hozyain-sdam-1-komn-kvartiru-na-sev-saltovke-ul-gv-shironintsev-96-30-IDEEdc2.html#cbdb1e6ad6,"
4 700 грн.
"
"
Сдам классную квартиру в новом ЖК на Салтовке!
",https://www.olx.ua/obyavlenie/sdam-klassnuyu-kvartiru-v-novom-zhk-na-saltovke-IDBjYEC.html#cbdb1e6ad6,"
6 400 грн.
"
"
Срочно сдам однокомнатную квартиру-студию с евроремонтом!
",https://www.olx.ua/obyavlenie/srochno-sdam-odnokomnatnuyu-kvartiru-studiyu-s-evroremontom-IDB7WBu.html#cbdb1e6ad6,"
5 759 грн.
"
"
Сдам 2 ком. кв в Новострое
",https://www.olx.ua/obyavlenie/sdam-2-kom-kv-v-novostroe-IDEEc9e.html#cbdb1e6ad6,"
10 000 грн.
"
"
Сдается гостинка в новострое
",https://www.olx.ua/obyavlenie/sdaetsya-gostinka-v-novostroe-IDBdiqe.html#cbdb1e6ad6,"
6 500 грн.
"
"
Сдам изолированную гостинку со всеми удобствами
",https://www.olx.ua/obyavlenie/sdam-izolirovannuyu-gostinku-so-vsemi-udobstvami-IDEbuX7.html#cbdb1e6ad6,"
6 000 грн.
"
"
Срочно!Сдам однокомнатную квартиру
",https://www.olx.ua/obyavlenie/srochno-sdam-odnokomnatnuyu-kvartiru-IDB8rFa.html#cbdb1e6ad6,"
5 759 грн.
"
"
Сдается изол. гостинка в новом доме на Салтовке
",https://www.olx.ua/obyavlenie/sdaetsya-izol-gostinka-v-novom-dome-na-saltovke-IDEbu0t.html#cbdb1e6ad6,"
5 759 грн.
"
"
Сдам 3 ком. квартиру, центр
",https://www.olx.ua/obyavlenie/sdam-3-kom-kvartiru-tsentr-IDBrs1a.html#cbdb1e6ad6,"
17 016 грн.
"
"
Сдам 1ком.м/г квартиру в ЖК ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/sdam-1kom-m-g-kvartiru-v-zhk-bestuzhevskie-sady-IDEbtwE.html#cbdb1e6ad6,"
5 000 грн.
"
"
Сдам уютную 2х уровневую квартиру
",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-2h-urovnevuyu-kvartiru-IDAtWlG.html#cbdb1e6ad6,"
6 545 грн.
"
"
Сдам 1ком. квартиру-студию на Салтовке
",https://www.olx.ua/obyavlenie/sdam-1kom-kvartiru-studiyu-na-saltovke-IDB7T1i.html#cbdb1e6ad6,"
5 236 грн.
"
"
Сдам 2х уровневую просторную квартиру в современном ЖК
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-prostornuyu-kvartiru-v-sovremennom-zhk-IDEbrw7.html#cbdb1e6ad6,"
6 545 грн.
"
"
Сдам квартиру-студию в ЖК ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-v-zhk-bestuzhevskie-sady-IDsSokK.html#cbdb1e6ad6,"
6 021 грн.
"
"
Сдам 2 ком. квартиру в центре
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-v-tsentre-IDDsENB.html#cbdb1e6ad6,"
11 780 грн.
"
"
Cдам 1ком. квартиру с евроремонтом!
",https://www.olx.ua/obyavlenie/cdam-1kom-kvartiru-s-evroremontom-IDB8qhy.html#cbdb1e6ad6,"
5 236 грн.
"
"
Сдам 1 комнатную квартиру Салтовка 522м/р м.Студенческая
",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-saltovka-522m-r-m-studencheskaya-IDEE6L3.html#cbdb1e6ad6,"
6 500 грн.
"
